timestamp, system, entity , value (s/m)
1622104461.539, lauv-roald, SmartX, 2.524
1622104462.039, lauv-roald, SmartX, 2.334
1622104462.538, lauv-roald, SmartX, 2.035
1622104463.039, lauv-roald, SmartX, 1.980
1622104463.538, lauv-roald, SmartX, 2.046
1622104464.039, lauv-roald, SmartX, 2.298
1622104464.538, lauv-roald, SmartX, 2.617
1622104465.038, lauv-roald, SmartX, 2.629
1622104465.538, lauv-roald, SmartX, 2.437
1622104466.038, lauv-roald, SmartX, 2.186
1622104466.538, lauv-roald, SmartX, 1.969
1622104467.038, lauv-roald, SmartX, 1.893
1622104467.538, lauv-roald, SmartX, 1.896
1622104468.038, lauv-roald, SmartX, 1.949
1622104468.538, lauv-roald, SmartX, 2.159
1622104469.038, lauv-roald, SmartX, 2.442
1622104469.538, lauv-roald, SmartX, 2.815
1622104470.038, lauv-roald, SmartX, 2.804
1622104470.538, lauv-roald, SmartX, 2.598
1622104471.038, lauv-roald, SmartX, 2.265
1622104471.538, lauv-roald, SmartX, 1.948
1622104472.038, lauv-roald, SmartX, 1.901
1622104472.538, lauv-roald, SmartX, 1.931
1622104473.038, lauv-roald, SmartX, 2.218
1622104473.538, lauv-roald, SmartX, 2.482
1622104474.038, lauv-roald, SmartX, 2.650
1622104474.538, lauv-roald, SmartX, 2.568
1622104475.037, lauv-roald, SmartX, 2.422
1622104475.538, lauv-roald, SmartX, 2.121
1622104476.038, lauv-roald, SmartX, 2.066
