timestamp, system, entity , value (m)
1622104266.052, lauv-roald, SmartX, 0.438
1622104266.345, lauv-roald, DVL, 0.059
1622104266.549, lauv-roald, DVL, 0.053
1622104266.552, lauv-roald, SmartX, 0.458
1622104266.748, lauv-roald, DVL, 0.067
1622104267.052, lauv-roald, SmartX, 0.448
1622104267.148, lauv-roald, DVL, 0.073
1622104267.347, lauv-roald, DVL, 0.055
1622104267.548, lauv-roald, DVL, 0.065
1622104267.552, lauv-roald, SmartX, 0.428
1622104267.945, lauv-roald, DVL, 0.051
1622104268.052, lauv-roald, SmartX, 0.408
1622104268.147, lauv-roald, DVL, 0.040
1622104268.350, lauv-roald, DVL, 0.044
1622104268.552, lauv-roald, SmartX, 0.398
1622104268.748, lauv-roald, DVL, 0.020
1622104268.946, lauv-roald, DVL, 0.010
1622104269.052, lauv-roald, SmartX, 0.368
1622104269.149, lauv-roald, DVL, 0.002
1622104269.548, lauv-roald, DVL, 0.000
1622104269.552, lauv-roald, SmartX, 0.388
1622104269.747, lauv-roald, DVL, 0.006
1622104269.947, lauv-roald, DVL, 0.011
1622104270.052, lauv-roald, SmartX, 0.418
1622104270.350, lauv-roald, DVL, 0.031
1622104270.548, lauv-roald, DVL, 0.038
1622104270.552, lauv-roald, SmartX, 0.398
1622104270.747, lauv-roald, DVL, 0.023
1622104271.052, lauv-roald, SmartX, 0.418
1622104271.148, lauv-roald, DVL, 0.038
1622104271.345, lauv-roald, DVL, 0.050
1622104271.545, lauv-roald, DVL, 0.043
1622104271.552, lauv-roald, SmartX, 0.428
1622104271.946, lauv-roald, DVL, 0.047
1622104272.052, lauv-roald, SmartX, 0.448
1622104272.147, lauv-roald, DVL, 0.054
1622104272.347, lauv-roald, DVL, 0.043
1622104272.552, lauv-roald, SmartX, 0.418
1622104272.748, lauv-roald, DVL, 0.032
1622104272.949, lauv-roald, DVL, 0.043
1622104273.052, lauv-roald, SmartX, 0.388
1622104273.147, lauv-roald, DVL, 0.018
1622104273.548, lauv-roald, DVL, 0.018
1622104273.552, lauv-roald, SmartX, 0.378
1622104273.748, lauv-roald, DVL, 0.029
1622104273.947, lauv-roald, DVL, 0.027
1622104274.051, lauv-roald, SmartX, 0.408
1622104274.345, lauv-roald, DVL, 0.045
1622104274.550, lauv-roald, DVL, 0.050
1622104274.552, lauv-roald, SmartX, 0.448
1622104274.748, lauv-roald, DVL, 0.058
1622104275.051, lauv-roald, SmartX, 0.468
1622104275.147, lauv-roald, DVL, 0.094
1622104275.346, lauv-roald, DVL, 0.091
1622104275.548, lauv-roald, DVL, 0.092
1622104275.552, lauv-roald, SmartX, 0.478
1622104275.948, lauv-roald, DVL, 0.099
1622104276.052, lauv-roald, SmartX, 0.468
1622104276.148, lauv-roald, DVL, 0.077
1622104276.348, lauv-roald, DVL, 0.074
1622104276.551, lauv-roald, SmartX, 0.428
1622104276.749, lauv-roald, DVL, 0.062
1622104276.947, lauv-roald, DVL, 0.049
1622104277.051, lauv-roald, SmartX, 0.418
1622104277.147, lauv-roald, DVL, 0.056
1622104277.548, lauv-roald, DVL, 0.057
1622104277.551, lauv-roald, SmartX, 0.438
1622104277.746, lauv-roald, DVL, 0.053
1622104277.949, lauv-roald, DVL, 0.051
1622104278.051, lauv-roald, SmartX, 0.428
1622104278.348, lauv-roald, DVL, 0.048
1622104278.549, lauv-roald, DVL, 0.060
1622104278.551, lauv-roald, SmartX, 0.428
1622104278.748, lauv-roald, DVL, 0.051
1622104279.051, lauv-roald, SmartX, 0.458
1622104279.149, lauv-roald, DVL, 0.055
1622104279.347, lauv-roald, DVL, 0.068
1622104279.551, lauv-roald, SmartX, 0.468
1622104279.551, lauv-roald, DVL, 0.051
1622104279.948, lauv-roald, DVL, 0.046
1622104280.051, lauv-roald, SmartX, 0.418
1622104280.150, lauv-roald, DVL, 0.047
1622104280.345, lauv-roald, DVL, 0.025
1622104280.551, lauv-roald, SmartX, 0.398
1622104280.749, lauv-roald, DVL, 0.018
1622104280.948, lauv-roald, DVL, 0.015
1622104281.051, lauv-roald, SmartX, 0.388
1622104281.147, lauv-roald, DVL, 0.019
1622104281.549, lauv-roald, DVL, 0.041
1622104281.551, lauv-roald, SmartX, 0.408
1622104281.747, lauv-roald, DVL, 0.029
1622104281.950, lauv-roald, DVL, 0.046
1622104282.051, lauv-roald, SmartX, 0.428
1622104282.350, lauv-roald, DVL, 0.051
1622104282.548, lauv-roald, DVL, 0.040
1622104282.551, lauv-roald, SmartX, 0.438
1622104282.746, lauv-roald, DVL, 0.056
1622104283.051, lauv-roald, SmartX, 0.438
1622104283.147, lauv-roald, DVL, 0.064
1622104283.354, lauv-roald, DVL, 0.042
1622104283.547, lauv-roald, DVL, 0.050
1622104283.551, lauv-roald, SmartX, 0.418
1622104283.949, lauv-roald, DVL, 0.028
1622104284.051, lauv-roald, SmartX, 0.378
1622104284.147, lauv-roald, DVL, 0.025
1622104284.347, lauv-roald, DVL, 0.022
1622104284.551, lauv-roald, SmartX, 0.388
1622104284.748, lauv-roald, DVL, 0.009
1622104284.947, lauv-roald, DVL, 0.029
1622104285.051, lauv-roald, SmartX, 0.408
1622104285.149, lauv-roald, DVL, 0.036
1622104285.548, lauv-roald, DVL, 0.054
