timestamp, system, entity , value (m)
1623928947.252, lauv-roald, DVL, 0.000
1623928947.453, lauv-roald, DVL, 0.000
1623928947.602, lauv-roald, SmartX, 0.199
1623928947.652, lauv-roald, DVL, 0.000
1623928948.053, lauv-roald, DVL, 0.000
1623928948.102, lauv-roald, SmartX, 0.189
1623928948.251, lauv-roald, DVL, 0.000
1623928948.452, lauv-roald, DVL, 0.000
1623928948.602, lauv-roald, SmartX, 0.189
1623928948.853, lauv-roald, DVL, 0.000
1623928949.049, lauv-roald, DVL, 0.000
1623928949.102, lauv-roald, SmartX, 0.189
1623928949.255, lauv-roald, DVL, 0.000
1623928949.602, lauv-roald, SmartX, 0.169
1623928949.652, lauv-roald, DVL, 0.000
1623928949.853, lauv-roald, DVL, 0.000
1623928950.054, lauv-roald, DVL, 0.000
1623928950.102, lauv-roald, SmartX, 0.189
1623928950.450, lauv-roald, DVL, 0.000
1623928950.602, lauv-roald, SmartX, 0.189
1623928950.653, lauv-roald, DVL, 0.000
1623928950.853, lauv-roald, DVL, 0.000
1623928951.102, lauv-roald, SmartX, 0.189
1623928951.252, lauv-roald, DVL, 0.000
1623928951.452, lauv-roald, DVL, 0.000
1623928951.602, lauv-roald, SmartX, 0.179
1623928951.651, lauv-roald, DVL, 0.000
1623928952.052, lauv-roald, DVL, 0.000
1623928952.102, lauv-roald, SmartX, 0.199
1623928952.254, lauv-roald, DVL, 0.000
1623928952.451, lauv-roald, DVL, 0.000
1623928952.602, lauv-roald, SmartX, 0.179
1623928952.855, lauv-roald, DVL, 0.000
1623928953.052, lauv-roald, DVL, 0.000
1623928953.102, lauv-roald, SmartX, 0.209
1623928953.252, lauv-roald, DVL, 0.000
1623928953.602, lauv-roald, SmartX, 0.199
1623928953.652, lauv-roald, DVL, 0.000
1623928953.852, lauv-roald, DVL, 0.000
1623928954.052, lauv-roald, DVL, 0.000
1623928954.102, lauv-roald, SmartX, 0.189
1623928954.452, lauv-roald, DVL, 0.000
1623928954.602, lauv-roald, SmartX, 0.189
1623928954.652, lauv-roald, DVL, 0.000
1623928954.855, lauv-roald, DVL, 0.000
1623928955.102, lauv-roald, SmartX, 0.169
1623928955.252, lauv-roald, DVL, 0.000
1623928955.451, lauv-roald, DVL, 0.000
1623928955.602, lauv-roald, SmartX, 0.199
1623928955.653, lauv-roald, DVL, 0.000
1623928956.052, lauv-roald, DVL, 0.000
1623928956.102, lauv-roald, SmartX, 0.199
1623928956.254, lauv-roald, DVL, 0.000
1623928956.452, lauv-roald, DVL, 0.000
1623928956.602, lauv-roald, SmartX, 0.209
1623928956.851, lauv-roald, DVL, 0.000
1623928957.052, lauv-roald, DVL, 0.000
1623928957.102, lauv-roald, SmartX, 0.199
1623928957.252, lauv-roald, DVL, 0.000
1623928957.601, lauv-roald, SmartX, 0.189
1623928957.651, lauv-roald, DVL, 0.000
1623928957.852, lauv-roald, DVL, 0.000
1623928958.051, lauv-roald, DVL, 0.000
1623928958.102, lauv-roald, SmartX, 0.179
1623928958.452, lauv-roald, DVL, 0.000
1623928958.602, lauv-roald, SmartX, 0.199
1623928958.652, lauv-roald, DVL, 0.000
