timestamp, system, entity , value (s/m)
1625574670.388, lauv-roald, SmartX, 2.200
1625574670.888, lauv-roald, SmartX, 2.007
1625574671.388, lauv-roald, SmartX, 1.762
1625574671.888, lauv-roald, SmartX, 1.711
1625574672.388, lauv-roald, SmartX, 1.816
1625574672.888, lauv-roald, SmartX, 2.011
1625574673.389, lauv-roald, SmartX, 2.227
1625574673.889, lauv-roald, SmartX, 2.320
1625574674.389, lauv-roald, SmartX, 2.291
1625574674.889, lauv-roald, SmartX, 2.232
1625574675.388, lauv-roald, SmartX, 2.099
1625574675.888, lauv-roald, SmartX, 1.955
1625574676.388, lauv-roald, SmartX, 1.906
1625574676.888, lauv-roald, SmartX, 1.811
1625574677.388, lauv-roald, SmartX, 1.646
1625574677.888, lauv-roald, SmartX, 1.400
1625574678.388, lauv-roald, SmartX, 1.286
1625574678.888, lauv-roald, SmartX, 1.260
1625574679.388, lauv-roald, SmartX, 1.405
1625574679.888, lauv-roald, SmartX, 1.545
1625574680.388, lauv-roald, SmartX, 1.797
1625574680.888, lauv-roald, SmartX, 1.790
1625574681.388, lauv-roald, SmartX, 1.462
1625574681.888, lauv-roald, SmartX, 0.931
1625574682.388, lauv-roald, SmartX, 0.930
1625574682.887, lauv-roald, SmartX, 0.956
1625574683.387, lauv-roald, SmartX, 1.042
1625574683.887, lauv-roald, SmartX, 1.291
1625574684.387, lauv-roald, SmartX, 1.580
1625574684.887, lauv-roald, SmartX, 1.749
1625574685.387, lauv-roald, SmartX, 1.712
1625574685.887, lauv-roald, SmartX, 1.463
1625574686.388, lauv-roald, SmartX, 1.024
1625574686.887, lauv-roald, SmartX, 0.910
1625574687.387, lauv-roald, SmartX, 1.130
1625574687.887, lauv-roald, SmartX, 1.248
1625574688.387, lauv-roald, SmartX, 1.305
1625574688.887, lauv-roald, SmartX, 1.398
1625574689.387, lauv-roald, SmartX, 1.415
1625574689.887, lauv-roald, SmartX, 1.013
1625574690.387, lauv-roald, SmartX, 0.979
1625574690.887, lauv-roald, SmartX, 0.817
1625574691.387, lauv-roald, SmartX, 0.754
1625574691.887, lauv-roald, SmartX, 0.702
1625574692.387, lauv-roald, SmartX, 0.790
1625574692.887, lauv-roald, SmartX, 1.247
1625574693.387, lauv-roald, SmartX, 1.653
1625574693.887, lauv-roald, SmartX, 1.689
1625574694.387, lauv-roald, SmartX, 1.426
1625574694.887, lauv-roald, SmartX, 1.304
1625574695.387, lauv-roald, SmartX, 1.119
1625574695.886, lauv-roald, SmartX, 1.027
1625574696.386, lauv-roald, SmartX, 1.151
1625574696.886, lauv-roald, SmartX, 2.010
1625574697.387, lauv-roald, SmartX, 2.281
1625574697.887, lauv-roald, SmartX, 2.213
1625574698.386, lauv-roald, SmartX, 1.954
1625574698.886, lauv-roald, SmartX, 1.423
1625574699.386, lauv-roald, SmartX, 1.101
1625574699.886, lauv-roald, SmartX, 1.009
1625574700.386, lauv-roald, SmartX, 1.016
1625574700.886, lauv-roald, SmartX, 1.071
1625574701.386, lauv-roald, SmartX, 0.933
1625574701.886, lauv-roald, SmartX, 0.789
1625574702.386, lauv-roald, SmartX, 0.778
1625574702.886, lauv-roald, SmartX, 0.966
1625574703.386, lauv-roald, SmartX, 1.469
1625574703.886, lauv-roald, SmartX, 1.718
1625574704.386, lauv-roald, SmartX, 1.712
1625574704.886, lauv-roald, SmartX, 1.495
1625574705.386, lauv-roald, SmartX, 1.232
1625574705.886, lauv-roald, SmartX, 1.151
1625574706.386, lauv-roald, SmartX, 1.250
1625574706.886, lauv-roald, SmartX, 1.342
1625574707.386, lauv-roald, SmartX, 1.558
1625574707.886, lauv-roald, SmartX, 1.657
1625574708.386, lauv-roald, SmartX, 1.641
1625574708.886, lauv-roald, SmartX, 1.632
1625574709.386, lauv-roald, SmartX, 1.620
1625574709.886, lauv-roald, SmartX, 1.620
1625574710.386, lauv-roald, SmartX, 1.672
1625574710.886, lauv-roald, SmartX, 1.729
1625574711.386, lauv-roald, SmartX, 1.844
1625574711.886, lauv-roald, SmartX, 1.887
1625574712.385, lauv-roald, SmartX, 1.783
1625574712.885, lauv-roald, SmartX, 1.687
1625574713.385, lauv-roald, SmartX, 1.571
1625574713.885, lauv-roald, SmartX, 1.591
1625574714.385, lauv-roald, SmartX, 1.742
1625574714.885, lauv-roald, SmartX, 1.894
1625574715.385, lauv-roald, SmartX, 2.029
1625574715.885, lauv-roald, SmartX, 2.062
1625574716.385, lauv-roald, SmartX, 2.046
1625574716.885, lauv-roald, SmartX, 1.945
1625574717.385, lauv-roald, SmartX, 1.878
1625574717.885, lauv-roald, SmartX, 1.837
1625574718.385, lauv-roald, SmartX, 1.870
1625574718.885, lauv-roald, SmartX, 1.952
1625574719.385, lauv-roald, SmartX, 2.009
1625574719.885, lauv-roald, SmartX, 2.009
1625574720.385, lauv-roald, SmartX, 1.914
1625574720.885, lauv-roald, SmartX, 1.728
1625574721.385, lauv-roald, SmartX, 1.629
1625574721.885, lauv-roald, SmartX, 1.490
1625574722.385, lauv-roald, SmartX, 1.435
1625574722.885, lauv-roald, SmartX, 1.450
1625574723.385, lauv-roald, SmartX, 1.579
1625574723.885, lauv-roald, SmartX, 1.704
1625574724.385, lauv-roald, SmartX, 1.762
1625574724.885, lauv-roald, SmartX, 1.755
1625574725.385, lauv-roald, SmartX, 1.632
1625574725.884, lauv-roald, SmartX, 1.379
1625574726.385, lauv-roald, SmartX, 1.106
1625574726.885, lauv-roald, SmartX, 0.878
1625574727.384, lauv-roald, SmartX, 0.782
1625574727.884, lauv-roald, SmartX, 0.825
1625574728.384, lauv-roald, SmartX, 1.020
1625574728.884, lauv-roald, SmartX, 1.152
1625574729.384, lauv-roald, SmartX, 1.637
1625574729.884, lauv-roald, SmartX, 2.055
1625574730.385, lauv-roald, SmartX, 2.367
1625574730.885, lauv-roald, SmartX, 2.557
1625574731.385, lauv-roald, SmartX, 2.520
1625574731.885, lauv-roald, SmartX, 2.351
1625574732.384, lauv-roald, SmartX, 1.970
1625574732.884, lauv-roald, SmartX, 1.702
1625574733.384, lauv-roald, SmartX, 1.298
1625574733.884, lauv-roald, SmartX, 1.049
1625574734.384, lauv-roald, SmartX, 0.919
1625574734.884, lauv-roald, SmartX, 1.342
1625574735.384, lauv-roald, SmartX, 1.667
1625574735.884, lauv-roald, SmartX, 1.923
1625574736.384, lauv-roald, SmartX, 2.062
1625574736.884, lauv-roald, SmartX, 1.974
1625574737.384, lauv-roald, SmartX, 1.673
1625574737.884, lauv-roald, SmartX, 1.254
1625574738.384, lauv-roald, SmartX, 1.162
1625574738.884, lauv-roald, SmartX, 1.453
1625574739.384, lauv-roald, SmartX, 1.676
1625574739.884, lauv-roald, SmartX, 1.822
1625574740.384, lauv-roald, SmartX, 1.868
1625574740.883, lauv-roald, SmartX, 1.660
1625574741.383, lauv-roald, SmartX, 1.321
1625574741.883, lauv-roald, SmartX, 0.979
1625574742.383, lauv-roald, SmartX, 0.693
1625574742.883, lauv-roald, SmartX, 0.607
1625574743.384, lauv-roald, SmartX, 0.567
1625574743.883, lauv-roald, SmartX, 0.587
1625574744.383, lauv-roald, SmartX, 0.611
1625574744.883, lauv-roald, SmartX, 0.762
1625574745.383, lauv-roald, SmartX, 1.276
1625574745.883, lauv-roald, SmartX, 1.584
1625574746.383, lauv-roald, SmartX, 1.716
1625574746.883, lauv-roald, SmartX, 1.847
1625574747.383, lauv-roald, SmartX, 1.982
1625574747.883, lauv-roald, SmartX, 2.026
1625574748.383, lauv-roald, SmartX, 2.016
1625574748.883, lauv-roald, SmartX, 1.800
1625574749.383, lauv-roald, SmartX, 1.511
1625574749.883, lauv-roald, SmartX, 1.166
1625574750.383, lauv-roald, SmartX, 1.145
1625574750.883, lauv-roald, SmartX, 1.275
1625574751.383, lauv-roald, SmartX, 1.696
1625574751.883, lauv-roald, SmartX, 1.900
1625574752.383, lauv-roald, SmartX, 1.979
1625574752.883, lauv-roald, SmartX, 1.962
1625574753.383, lauv-roald, SmartX, 1.829
1625574753.883, lauv-roald, SmartX, 1.727
1625574754.382, lauv-roald, SmartX, 1.551
1625574754.883, lauv-roald, SmartX, 1.457
1625574755.382, lauv-roald, SmartX, 1.394
1625574755.883, lauv-roald, SmartX, 1.390
1625574756.382, lauv-roald, SmartX, 1.350
1625574756.882, lauv-roald, SmartX, 1.342
1625574757.382, lauv-roald, SmartX, 1.375
1625574757.882, lauv-roald, SmartX, 1.597
1625574758.382, lauv-roald, SmartX, 1.754
1625574758.882, lauv-roald, SmartX, 1.973
1625574759.382, lauv-roald, SmartX, 1.897
1625574759.882, lauv-roald, SmartX, 1.554
1625574760.382, lauv-roald, SmartX, 1.298
1625574760.882, lauv-roald, SmartX, 1.008
1625574761.382, lauv-roald, SmartX, 0.919
1625574761.882, lauv-roald, SmartX, 0.888
1625574762.382, lauv-roald, SmartX, 0.924
1625574762.882, lauv-roald, SmartX, 1.034
1625574763.382, lauv-roald, SmartX, 1.485
